"period","model","threshold","false_positive_weight","outcome_prevalence","action","true_positive_definition","false_positive_definition","TP","FP","FN","TN","net_benefit","net_benefit_all","net_benefit_none","standardized_net_benefit","race_ethnicity_group"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.24,0.315789473684211,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20274,6332,1,3,0.686750133507387,0.686752111394608,0,0.901327795444221,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.25,0.333333333333333,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20274,6332,1,3,0.68257547287987,0.68257547287987,0,0.895848746403617,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.26,0.351351351351351,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20274,6331,1,4,0.678301187320353,0.678285952243111,0,0.890238944246343,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.27,0.36986301369863,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20273,6329,2,6,0.673887147174046,0.673878910493017,0,0.884445720656048,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.28,0.388888888888889,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20273,6324,2,11,0.669435049480145,0.669349450916531,0,0.878602548294287,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.29,0.408450704225352,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20272,6320,3,15,0.664809904144899,0.66469240092944,0,0.872532258904847,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.3,0.428571428571429,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20271,6320,4,15,0.659993557738766,0.659902292371289,0,0.866211026950854,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.31,0.449275362318841,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20270,6316,5,19,0.655106231176032,0.654973340086815,0,0.859796636823388,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.32,0.470588235294118,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20266,6311,9,24,0.649985631231072,0.649899418617503,0,0.853076086168129,"Hispanic"
"2024_posthoc_comparative_evaluation","race_inclusive_counselling_logistic",0.33,0.492537313432836,0.761931604659902,"support_or_encourage_planned_TOLAC","TOLAC_supported_and_VBAC_occurs","TOLAC_supported_but_TOLAC_fails",20265,6307,10,28,0.644816503727137,0.644674036805824,0,0.846291845335591,"Hispanic"
